Paper_ID,Document Title,Authors,Publication Year,PDF Link,Publisher,Screening Status,Reason,
PID-048,ALGPT: Multi-Agent Cooperative Framework for Open-Vocabulary Multi-Modal Auto-Annotating in Autonomous Driving,Yijie Zhou; Xianhui Cheng; Qiming Zhang; Lei Wang; Wenchao Ding; Xiangyang Xue,2024,https://ieeexplore.ieee.org/abstract/document/10681241,IEEE,Included - Final Corpus,Selected: discuss all RQs,
PID-049,ALGPT: Multi-Agent Cooperative Framework for Open-Vocabulary Multi-Modal Auto-Annotating in Autonomous Driving,Yijie Zhou; Xianhui Cheng; Qiming Zhang; Lei Wang; Wenchao Ding; Xiangyang Xue,2024,,arxiv,Ex- Phase  2,Duplicate record across databases,
PID-050,An Agency-Directed Approach to Test Generation for Simulation-based Autonomous Vehicle Verification,G. Chance; A. Ghobrial; S. Lemaignan; T. Pipe; K. Eder,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9176833,IEEE,Ex- Phase 6,excluded based on full text: Focuses on testing autonomous vehicle models rather than agentic or LLM-driven software testing workflows.,
PID-051,An agent-based approach for crowdsourcing software design,H. Li; L. -Y. Hao; X. Ge; J. Gao; S. Guo,2016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7531795,IEEE,Excluded - Phase 1,Published before 2020,
PID-052,An approach to debug interactions in multi-agent system software tests,"Serrano, Emilio; Muñoz, Andres; Botia, Juan; ",2012,,Elsevier,Excluded - Phase 1,Published before 2020,
PID-053,An Empirical Comparison of Model-Agnostic Techniques for Defect Prediction Models,G. Lee; S. U. -J. Lee,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10123486,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-054,An Empirical Study on Low- and High-Level Explanations of Deep Learning Misbehaviours,T. Zohdinasab; V. Riccio; P. Tonella,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10304866,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-055,An Interrogative Survey of Explainable AI in Manufacturing,Z. Alexander; D. H. Chau; C. SaldaÃ±a,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10449717,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-056,An Optimized Pipeline for the Processing of Healthcare Data towards the Creation of Holistic Health Records,G. Manias; E. Kouremenou; A. A. AlzÃºaz; P. Kranas; F. Melillo; D. Kyriazis,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10438686,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-057,An Overview of GPT-4's Characteristics through the Lens of 10V's of Big Data,O. M. Alyasiri; D. Akhtom; M. N. Alrasheedy,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10429032,IEEE,Ex- Phase 6,Excluded based on full text: High-level overview of GPT?4 without a concrete software testing or trust-evaluation methodology.,
PID-058,Approach Towards Semi-Automated Certification of Low Criticality ML-Enabled Airborne Applications,C. Sridhar; V. Gupta; P. Jain; K. Vaidhyanathan,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11030061,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-059,Are mutants a valid substitute for real faults in software testing?,"Just, René; Jalali, Darioush; Inozemtseva, Laura; Ernst, Michael D; Holmes, Reid; Fraser, Gordon; ",2014,,IEEE conf,Excluded - Phase 1,Published before 2020,
PID-060,Are We Keeping up With the Innovation in Generative AI?,S. Eldh,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10705654,IEEE,Ex- Phase 6,"Excluded based on full text: Lacks specific trust, governance, or autonomous multi-agent mechanisms (General SE tool).",
PID-061,Are You a Real Software Engineer? Best Practices in Online Recruitment for Software Engineering Studies,A. Alami; M. Zahedi; N. Ernst,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10707615,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-062,Artificial Intelligence in Industry 4.0: A Review of Integration Challenges for Industrial Systems,A. Windmann; P. Wittenberg; M. Schieseck; O. Niggemann,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10774364,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-063,Artificial Intelligence in the Public Sector - An Agenda for Responsible Innovation through Learning,L. Z. Knutsen; J. Hannay; M. A. Riegler,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10653695,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-064,Artificial Moral Agents: A Survey of the Current Status,JosÃ©-Antonio CervantesSonia LÃ³pezLuis-Felipe RodrÃ­guezSalvador CervantesFrancisco CervantesFÃ©lix Ramos,2019,https://link.springer.com/article/10.1007/s11948-019-00151-x,,Excluded - Phase 1,Published before 2020,
PID-065,Automated software testing for application maintenance by using bee colony optimization algorithms (BCO),K. Karnavel; J. Santhoshkumar,2013,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6508211,IEEE,Excluded - Phase 1,Published before 2020,
PID-066,Boosting Supply Chain Transparency with Blockchain and Smart Contracts,R. Kumar; V. Mangaiyarkarasi; G. Ramesh; S. Arvind; M. H. Fallah; N. M,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10923137,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-067,Business Management Transformation Through the Influence of Artificial Intelligence,M. Prorok; I. TakÃ¡cs,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10737615,IEEE,Ex - Phase 4,Excluded based on abstract: Focuses entirely on business management,
PID-068,The Impact of Generative AI on Test & Evaluation: Challenges and Opportunities,"Laura Freeman, John Robert, Heather Wojton",2025,https://dl.acm.org/doi/10.1145/3696630.3728723,ACM,Ex - Phase 5,Excluded based on access:  lacking full methodological depth.,
PID-069,Cases for Explainable Software Systems: Characteristics and Examples,"M Sadeghi, V Klös, A Vogelsang",2021,https://ieeexplore.ieee.org/abstract/document/9582300,ieee,Included - Final Corpus,Selected: discuss all RQs,
PID-070,Centralized Smart Service Hub,J. J. Sardesai; P. K. Sonwalkar; R. P. Sakhare; A. R. Khot; D. C. Hadimani,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11140818,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-071,Challenges of Assured Autonomy,D. R. Kuhn,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10453408,IEEE,Ex- Phase 6,Excluded based on full text: Conceptual discussion of autonomy assurance without an implementable software testing or trust evaluation framework.,
PID-072,Challenges to Using Large Language Models in Code Generation and Repair,L. Pasquale; A. Sabetta; M. dâ€™Amorim; P. HegedÅ±s; M. T. Mirakhorli; H. Okhravi; M. Payer; A. Rashid; J. C. S. Santos; J. M. Spring; L. Tan; K. Tuma,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10942512,IEEE,Ex- Phase 6,"Excluded based on full text: Discusses LLM use in code generation/repair but lacks explicit trust, governance, or multi-agent testing mechanisms.",
PID-073,Chip Analysis for Tool Wear Monitoring in Machining: A Deep Learning Approach,A. Ur Rehman; T. Salwa Rabbi Nishat; M. Uddin Ahmed; S. Begum; A. Ranjan,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10636165,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-074,Collaborative Multi-Agent Reinforcement Learning Approach for Elastic Cloud Resource Scaling,B. Fang; D. Gao,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11137847,IEEE,Ex- Phase 6,"Excluded based on full text: Multi?agent RL for resource scaling,lack of quality assurance study.",
PID-075,Combinatorial Methods for Explainable AI,D. R. Kuhn; R. N. Kacker; Y. Lei; D. E. Simos,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155831,IEEE,Ex- Phase 6,Excluded based on full text: Evaluates XAI techniques for AI models rather than using AI agents to test software systems.,
PID-076,Comparing Apples and Oranges: Comparability problems caused by intransparent Data Cleansing for AI Applications,S. Tjoa; P. Kieseberg; M. Temper; A. Holzinger,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145155,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-077,Comparing the Adaptability of a Genetic Algorithm and an LLM-Based Framework for Automated Software Test Data Generation: In the Context of Web Applications,S. Wanigasekara; D. Asanka; C. Rajapakse; D. Wickramaarachchi; A. Wijesinghe,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10910287,IEEE,Ex- Phase 6,"Excluded based on full text: Targets test data generation but lacks explicit trust, governance, or human-in-the-loop testing signals.",
PID-078,Comprehensive Study on Integrating AI-Powered Threat Intelligence Using Large Language Models,"P Nishith, SA Ratnam, S Bhaskaran",2025,https://ieeexplore.ieee.org/abstract/document/11063731,IEEE conf,Included - Final Corpus,Selected: discuss all RQs,
PID-079,Consensus of linear multi-agent systems by distributed event-triggered strategy,"Hu, Wenfeng; Liu, Lu; Feng, Gang; ",2015,,IEEE,Excluded - Phase 1,Published before 2020,
PID-080,Continuous Quality Assurance and ML Pipelines under the AI Act,M. Wagner,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10556341,IEEE,Ex- Phase 6,Excluded based on full text: Regulatory and process-focused discussion without a concrete agentic or LLM-based testing architecture.,
PID-081,Coordinating occupant behavior for building energy and comfort management using multi-agent systems,"Klein, Laura; Kwak, Jun-young; Kavulya, Geoffrey; Jazizadeh, Farrokh; Becerik-Gerber, Burcin; Varakantham, Pradeep; Tambe, Milind; ",2012,,Elsevier,Excluded - Phase 1,Published before 2020,
PID-082,Deep Industry Use Cases on Context-Aware Adaptive Mobile Systems Experience Testing,M. Yalla; M. Venkata Raman; M. Fernandes,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10132292,IEEE,Ex - Phase 3,Excluded based on title: Out of scope AI paradigm (Focuses on traditional ML/Deep Learning rather than Agentic Systems or LLMs).,
PID-083,Deep Reinforcement Learning,M Krichen,2023,https://ieeexplore.ieee.org/abstract/document/10306453,IEEE conf,Included - Final Corpus,Selected: discuss all RQs,
PID-084,DeepLineDP: Towards a Deep Learning Approach for Line-Level Defect Prediction,C. Pornprasit; C. K. Tantithamthavorn,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9689967,IEEE,Ex- Phase 6,Excluded based on full text: Focuses on defect prediction model performance rather than trust-aware or agentic testing workflows.,
PID-085,Deeptest: Automated testing of deep-neural-network-driven autonomous cars,"Tian, Yuchi; Pei, Kexin; Jana, Suman; Ray, Baishakhi; ",2018,,Proceeding,Excluded - Phase 1,Published before 2020,
PID-086,Deepxplore: Automated whitebox testing of deep learning systems,"Pei, Kexin; Cao, Yinzhi; Yang, Junfeng; Jana, Suman; ",2017,,Proceeding,Excluded - Phase 1,Published before 2020,
PID-087,Defects4J: A database of existing faults to enable controlled testing studies for Java programs,"Just, René; Jalali, Darioush; Ernst, Michael D; ",2014,,IEEE conf,Excluded - Phase 1,Published before 2020,
PID-088,Design and Implementation of an AI-Based Enterprise Mobile Platform Automated Testing System,R. Liang; H. Wang; S. Gao; J. Chen,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10878667,IEEE,Ex- Phase 6,"Excluded based on full text: AI-assisted test automation system that does not introduce explicit trust, governance, or multi-agent orchestration.",
PID-089,Detecting Operational Adversarial Examples for Reliable Deep Learning,X. Zhao; W. Huang; S. Schewe; Y. Dong; X. Huang,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9525540,IEEE,Ex- Phase 6,"Excluded based on full text: Evaluates robustness of deep learning models, not agentic testing agents.",
PID-090,DevCoach: Supporting Students Learning the Software Development Life Cycle with a Generative AI Powered Multi-Agent System,"T Wang, M Trimble, C Brown",2025,https://dl.acm.org/doi/abs/10.1145/3696630.3727255,ACM,Included - Final Corpus,Selected: discuss all RQs,
PID-091,Developing and Evaluating a Model-Based Metric for Legal Question Answering Systems,D. Bakir; B. Yildiz; M. S. Aktas,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10386689,IEEE,Ex- Phase 6,Excluded based on full text: Metric for legal QA systems outside the software testing and agentic-testing scope.,
PID-092,Development of Intelligent Virtual Assistant for Software Testing Team,I. Itkin; A. Novikov; R. Yavorskiy,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8859438,IEEE,Excluded - Phase 1,Published before 2020,
PID-093,Distributed formation control of networked multi-agent systems using a dynamic event-triggered communication mechanism,"Ge, Xiaohua; Han, Qing-Long; ",2017,,IEEE,Excluded - Phase 1,Published before 2020,
PID-094,Enhanced Bug Detection in Compiler Logs Using Stacking and Explainable AI Techniques,A. J. Tripathy; S. S. Rao; S. Ashwani; K. C. R.,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10924112,IEEE,Ex- Phase 6,Excluded based on full text: Uses ML/XAI to detect bugs in logs but does not define a trust-centred framework.,
PID-095,Enhancing Data Governance through Data-Centric AI: Case Study in New Zealand Government Sector,A. X. Wang; C. R. Simpson; B. P. Nguyen,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10569739,IEEE,Ex- Phase 6,Excluded based on full text: Data-governance case study without a software testing or agentic QA focus.,
PID-096,Enhancing Multi-agent System Testing with Diversity-Guided,"X Ma, Y Wang, J Wang, X Xie, B Wu, S Li, F Xu, Q Wang",2024,https://dl.acm.org/doi/abs/10.1145/3650212.3680376,ACM,Included - Final Corpus,Selected: discuss all RQs,
PID-097,Ensemble Learning-Based Seizure Classification with Quality Assurance and Regulatory Alignment in AI-Driven Healthcare,Q. Khan; P. Keikhosrokiani,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11050464,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
